iter	Logloss
0	0.6888912342
1	0.6841495655
2	0.6793036284
3	0.6759457058
4	0.672611943
5	0.6685231527
6	0.6643768593
7	0.6602839717
8	0.6563786401
9	0.6525153407
10	0.6491781164
11	0.6449695163
12	0.6414444535
13	0.6382735923
14	0.6348451685
15	0.6311669526
16	0.628195586
17	0.6242119824
18	0.6203527804
19	0.6169340346
20	0.6132305287
21	0.6097539972
22	0.6061900104
23	0.6035512288
24	0.6017051979
25	0.5995246039
26	0.5960215109
27	0.5930845473
28	0.5901703305
29	0.5868221919
30	0.5835115291
31	0.5807138372
32	0.577589035
33	0.5753918047
34	0.5721385391
35	0.5695230696
36	0.566307633
37	0.5634230508
38	0.5611463476
39	0.5588441778
40	0.5557192343
41	0.5536489133
42	0.5506079638
43	0.5478323477
44	0.5457884471
45	0.543221509
46	0.5406255369
47	0.5382561154
48	0.5355636102
49	0.533504592
50	0.5319105784
51	0.529879676
52	0.5271903497
53	0.5244893674
54	0.522983763
55	0.5200394524
56	0.5175638199
57	0.5161718439
58	0.5137081499
59	0.5120610838
60	0.5101340965
61	0.5076600534
62	0.5060539246
63	0.5032159664
64	0.500623703
65	0.4981908445
66	0.4960686013
67	0.493703383
68	0.491035638
69	0.4885842359
70	0.4864166401
71	0.4844726986
72	0.4824378402
73	0.4805914561
74	0.4782018661
75	0.4759306731
76	0.4733890957
77	0.4712780846
78	0.4693078642
79	0.4676142092
80	0.4655630677
81	0.4635986752
82	0.4616033766
83	0.460096995
84	0.4584081085
85	0.4568493101
86	0.4546667028
87	0.4530750204
88	0.4514146734
89	0.4490839287
90	0.4473118252
91	0.4459735023
92	0.4445653138
93	0.4425154086
94	0.440555078
95	0.4387608634
96	0.4369960361
97	0.4356007753
98	0.43384552
99	0.4325344651
100	0.4305827883
101	0.428530905
102	0.4268400404
103	0.4250915669
104	0.4233567273
105	0.4220346521
106	0.4205844314
107	0.4189370473
108	0.4179171456
109	0.4172330786
110	0.4155663738
111	0.4151944054
112	0.4136144497
113	0.4119820065
114	0.4108661369
115	0.4098874551
116	0.4083583973
117	0.4068827452
118	0.4051888784
119	0.4046154375
120	0.4030830948
121	0.4013535535
122	0.3998586513
123	0.398556462
124	0.3969565498
125	0.395219379
126	0.3941534537
127	0.393162798
128	0.3917622743
129	0.3906243642
130	0.389295578
131	0.3878529513
132	0.3864325771
133	0.3846915916
134	0.3833637944
135	0.3819656725
136	0.3804985329
137	0.3790428374
138	0.3785988137
139	0.3775284379
140	0.3772057074
141	0.3761311637
142	0.374322538
143	0.3730691627
144	0.3719025718
145	0.3708776545
146	0.3695845427
147	0.3682823888
148	0.3671750669
149	0.3663788195
150	0.3660906333
151	0.3649718673
152	0.363522353
153	0.3632843583
154	0.3625409162
155	0.3614642532
156	0.3599708698
157	0.3587779292
158	0.3575749221
159	0.3563836416
160	0.3557961075
161	0.355045036
162	0.3540130898
163	0.3531565136
164	0.3521278523
165	0.3509555393
166	0.3503308473
167	0.3491615366
168	0.3486628003
169	0.34797068
170	0.3469646948
171	0.3459787722
172	0.344948486
173	0.3436805937
174	0.3429138749
175	0.3421938861
176	0.3410406466
177	0.3400690291
178	0.3394050598
179	0.3385252776
180	0.3376572574
181	0.3367573067
182	0.33564066
183	0.3348550443
184	0.333935455
185	0.3331113038
186	0.3322960889
187	0.3316555023
188	0.3315060227
189	0.3309495714
190	0.3301903054
191	0.3295442087
192	0.3288743054
193	0.3280046251
194	0.3269895624
195	0.3261290656
196	0.325072889
197	0.3243966279
198	0.3233178457
199	0.3227741807
200	0.3216007374
201	0.3206941463
202	0.3198609529
203	0.31887775
204	0.3180668089
205	0.3174742593
206	0.3165433319
207	0.3156758768
208	0.314991068
209	0.3141505277
210	0.3136376275
211	0.313389107
212	0.3126702132
213	0.3117794814
214	0.311042715
215	0.3106948005
216	0.30998562
217	0.3090907909
218	0.3085248029
219	0.3078664144
220	0.3073735414
221	0.3065793426
222	0.3058695617
223	0.305080979
224	0.304122289
225	0.3034199609
226	0.3025562498
227	0.3017316041
228	0.3009880207
